(2019, 12, 2, 11, 10, 0, 399361, None) : temp = 24.27 ; humid = 46.08 ; press = 1028.60
(2019, 12, 2, 11, 10, 2, 330813, None) : temp = 24.46 ; humid = 43.49 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 381917, None) : temp = 24.46 ; humid = 43.49 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 435999, None) : temp = 24.46 ; humid = 43.49 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 487838, None) : temp = 24.46 ; humid = 43.49 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 541012, None) : temp = 24.47 ; humid = 43.14 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 592858, None) : temp = 24.47 ; humid = 43.14 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 644749, None) : temp = 24.47 ; humid = 43.14 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 695902, None) : temp = 24.47 ; humid = 43.14 ; press = 1028.72
(2019, 12, 2, 11, 10, 2, 749909, None) : temp = 24.47 ; humid = 43.02 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 806879, None) : temp = 24.47 ; humid = 43.02 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 865989, None) : temp = 24.47 ; humid = 43.02 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 927031, None) : temp = 24.47 ; humid = 43.02 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 989026, None) : temp = 24.47 ; humid = 42.78 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 49014, None) : temp = 24.47 ; humid = 42.78 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 109026, None) : temp = 24.47 ; humid = 42.78 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 169099, None) : temp = 24.47 ; humid = 42.54 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 228001, None) : temp = 24.47 ; humid = 42.54 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 288025, None) : temp = 24.47 ; humid = 42.54 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 344944, None) : temp = 24.47 ; humid = 42.54 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 401976, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 460118, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 521998, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 578100, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 619771, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 660838, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 701832, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 745302, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 787844, None) : temp = 24.46 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 828813, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 869001, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 910829, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 953961, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 3, 994824, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 34827, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 74817, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 114858, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 154898, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 196821, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 235830, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 284817, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 325827, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 367823, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 408861, None) : temp = 24.47 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 450802, None) : temp = 24.44 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 491809, None) : temp = 24.44 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 565375, None) : temp = 24.44 ; humid = 42.49 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 596906, None) : temp = 24.44 ; humid = 41.91 ; press = 1028.69
(2019, 12, 2, 11, 10, 4, 674983, None) : temp = 24.46 ; humid = 41.69 ; press = 1028.71
(2019, 12, 2, 11, 10, 4, 752948, None) : temp = 24.46 ; humid = 41.69 ; press = 1028.71
(2019, 12, 2, 11, 10, 4, 828077, None) : temp = 24.46 ; humid = 41.69 ; press = 1028.71
(2019, 12, 2, 11, 10, 4, 904088, None) : temp = 24.46 ; humid = 41.26 ; press = 1028.74
(2019, 12, 2, 11, 10, 4, 979177, None) : temp = 24.46 ; humid = 41.26 ; press = 1028.74
(2019, 12, 2, 11, 10, 5, 53095, None) : temp = 24.46 ; humid = 41.26 ; press = 1028.74
(2019, 12, 2, 11, 10, 5, 128023, None) : temp = 24.47 ; humid = 40.95 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 204134, None) : temp = 24.47 ; humid = 40.95 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 284115, None) : temp = 24.47 ; humid = 40.95 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 321846, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 405085, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 464371, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 506834, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 548822, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 589832, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 629780, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 670872, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 710813, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 749824, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 791873, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 831795, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 870786, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 910847, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 950811, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 5, 989809, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 35853, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 108976, None) : temp = 24.47 ; humid = 40.65 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 139961, None) : temp = 24.47 ; humid = 40.41 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 209994, None) : temp = 24.47 ; humid = 40.27 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 281059, None) : temp = 24.47 ; humid = 40.27 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 348109, None) : temp = 24.47 ; humid = 40.27 ; press = 1028.77
(2019, 12, 2, 11, 10, 0, 258072, None) : temp = 24.34 ; humid = 64.28 ; press = 1028.74
(2019, 12, 2, 11, 10, 0, 355953, None) : temp = 24.34 ; humid = 64.28 ; press = 1028.74
(2019, 12, 2, 11, 10, 0, 393587, None) : temp = 24.34 ; humid = 64.28 ; press = 1028.74
(2019, 12, 2, 11, 10, 0, 429697, None) : temp = 24.34 ; humid = 64.28 ; press = 1028.74
(2019, 12, 2, 11, 10, 0, 466709, None) : temp = 24.36 ; humid = 63.75 ; press = 1028.73
(2019, 12, 2, 11, 10, 0, 551657, None) : temp = 24.36 ; humid = 63.75 ; press = 1028.73
(2019, 12, 2, 11, 10, 0, 637928, None) : temp = 24.36 ; humid = 63.75 ; press = 1028.73
(2019, 12, 2, 11, 10, 0, 720981, None) : temp = 24.39 ; humid = 63.34 ; press = 1028.73
(2019, 12, 2, 11, 10, 0, 760007, None) : temp = 24.39 ; humid = 63.34 ; press = 1028.73
(2019, 12, 2, 11, 10, 0, 843897, None) : temp = 24.39 ; humid = 63.34 ; press = 1028.73
(2019, 12, 2, 11, 10, 0, 880790, None) : temp = 24.41 ; humid = 63.33 ; press = 1028.73
(2019, 12, 2, 11, 10, 0, 917648, None) : temp = 24.41 ; humid = 63.33 ; press = 1028.73
(2019, 12, 2, 11, 10, 2, 3828, None) : temp = 24.47 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 43665, None) : temp = 24.47 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 82676, None) : temp = 24.47 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 122753, None) : temp = 24.47 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 162803, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 203697, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 244695, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 283637, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 322775, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 362712, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 401904, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 442694, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 481608, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 517717, None) : temp = 24.48 ; humid = 62.74 ; press = 1028.74
(2019, 12, 2, 11, 10, 2, 548775, None) : temp = 24.48 ; humid = 62.48 ; press = 1028.76
(2019, 12, 2, 11, 10, 2, 586652, None) : temp = 24.48 ; humid = 62.48 ; press = 1028.76
(2019, 12, 2, 11, 10, 2, 622799, None) : temp = 24.48 ; humid = 62.03 ; press = 1028.76
(2019, 12, 2, 11, 10, 2, 710203, None) : temp = 24.48 ; humid = 62.03 ; press = 1028.76
(2019, 12, 2, 11, 10, 2, 796001, None) : temp = 24.48 ; humid = 62.03 ; press = 1028.76
(2019, 12, 2, 11, 10, 2, 832842, None) : temp = 24.49 ; humid = 61.56 ; press = 1028.76
(2019, 12, 2, 11, 10, 2, 917061, None) : temp = 24.49 ; humid = 61.56 ; press = 1028.76
(2019, 12, 2, 11, 10, 3, 1938, None) : temp = 24.49 ; humid = 61.56 ; press = 1028.76
(2019, 12, 2, 11, 10, 4, 41313, None) : temp = 24.49 ; humid = 59.48 ; press = 1028.76
(2019, 12, 2, 11, 10, 4, 127967, None) : temp = 24.49 ; humid = 59.59 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 165802, None) : temp = 24.49 ; humid = 59.59 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 203726, None) : temp = 24.49 ; humid = 59.59 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 241774, None) : temp = 24.49 ; humid = 59.59 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 281716, None) : temp = 24.49 ; humid = 59.59 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 318691, None) : temp = 24.49 ; humid = 59.59 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 380717, None) : temp = 24.49 ; humid = 60.08 ; press = 1028.76
(2019, 12, 2, 11, 10, 4, 463999, None) : temp = 24.49 ; humid = 60.08 ; press = 1028.76
(2019, 12, 2, 11, 10, 4, 503851, None) : temp = 24.49 ; humid = 60.08 ; press = 1028.76
(2019, 12, 2, 11, 10, 4, 587983, None) : temp = 24.50 ; humid = 60.12 ; press = 1028.78
(2019, 12, 2, 11, 10, 4, 676054, None) : temp = 24.50 ; humid = 60.12 ; press = 1028.78
(2019, 12, 2, 11, 10, 4, 712534, None) : temp = 24.50 ; humid = 60.12 ; press = 1028.78
(2019, 12, 2, 11, 10, 4, 797987, None) : temp = 24.50 ; humid = 59.99 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 835712, None) : temp = 24.50 ; humid = 59.99 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 919982, None) : temp = 24.50 ; humid = 59.99 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 957650, None) : temp = 24.50 ; humid = 59.99 ; press = 1028.77
(2019, 12, 2, 11, 10, 4, 996791, None) : temp = 24.50 ; humid = 59.88 ; press = 1028.78
(2019, 12, 2, 11, 10, 6, 23005, None) : temp = 24.51 ; humid = 59.26 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 108015, None) : temp = 24.52 ; humid = 59.07 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 144747, None) : temp = 24.52 ; humid = 59.07 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 227917, None) : temp = 24.52 ; humid = 59.07 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 265798, None) : temp = 24.52 ; humid = 59.09 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 351089, None) : temp = 24.52 ; humid = 59.09 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 391996, None) : temp = 24.52 ; humid = 59.09 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 429794, None) : temp = 24.52 ; humid = 59.09 ; press = 1028.77
(2019, 12, 2, 11, 10, 6, 516106, None) : temp = 24.52 ; humid = 59.15 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 601046, None) : temp = 24.52 ; humid = 59.15 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 689962, None) : temp = 24.52 ; humid = 59.15 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 737731, None) : temp = 24.52 ; humid = 59.15 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 788782, None) : temp = 24.52 ; humid = 59.15 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 837728, None) : temp = 24.52 ; humid = 59.15 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 882675, None) : temp = 24.52 ; humid = 59.15 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 924738, None) : temp = 24.53 ; humid = 59.15 ; press = 1028.76
(2019, 12, 2, 11, 10, 6, 966720, None) : temp = 24.53 ; humid = 59.15 ; press = 1028.76
